ℹ️ [INFO] ۱۴۰۴/۰۲/۱۸, ۱۷:۱۱:۳۵ | Banner created: ارسال رایگان
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۹:۵۲ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۳۹:۵۸ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۰:۰۰ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۰:۰۰ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۰:۰۲ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۰:۰۲ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۰:۱۴ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۰:۱۴ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۰:۱۷ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۰:۱۷ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۰:۱۷ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۰:۱۷ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۳:۲۱ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۳:۲۱ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۳:۳۲ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۳:۳۲ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۳:۳۸ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۳:۳۸ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۶:۲۸ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۶:۲۸ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۶:۲۹ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۶:۲۹ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۶:۲۹ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۶:۲۹ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۶:۲۹ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۶:۲۹ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۶:۲۹ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۶:۲۹ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۶:۲۹ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۶:۲۹ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۶:۳۰ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۶:۳۰ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۷:۱۶ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۷:۱۶ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۷:۱۷ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۷:۱۷ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۷:۱۷ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۰:۴۷:۱۷ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۰۵:۱۰ | New user created: superadmin@gmail.com with username user-20250509
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۰۵:۱۱ | Error sending email to superadmin@gmail.com: Invalid login: 535-5.7.8 Username and Password not accepted. For more information, go to
535 5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad236cb21a2sm2763766b.159 - gsmtp
⚠️ [WARN] ۱۴۰۴/۰۲/۱۹, ۲۱:۰۵:۱۱ | Failed to send verification email to superadmin@gmail.com: Failed to send verification code
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۰۵:۱۱ | Verification code for superadmin@gmail.com: 485583
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۰۵:۱۱ | Auth processed for: superadmin@gmail.com
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۰۵:۱۱ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۰۵:۴۲ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۰۵:۵۹ | New user created: ali@gmail.com with username user-20250509-1
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۰۶:۰۰ | Error sending email to ali@gmail.com: Invalid login: 535-5.7.8 Username and Password not accepted. For more information, go to
535 5.7.8  https://support.google.com/mail/?p=BadCredentials 4fb4d7f45d1cf-5fc9cc5134fsm1701075a12.46 - gsmtp
⚠️ [WARN] ۱۴۰۴/۰۲/۱۹, ۲۱:۰۶:۰۰ | Failed to send verification email to ali@gmail.com: Failed to send verification code
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۰۶:۰۰ | Verification code for ali@gmail.com: 157801
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۰۶:۰۰ | Auth processed for: ali@gmail.com
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۰۶:۰۰ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۰۷:۰۴ | New user created: ali@gmail.com with username user-20250509
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۰۷:۰۵ | Error sending email to ali@gmail.com: Invalid login: 535-5.7.8 Username and Password not accepted. For more information, go to
535 5.7.8  https://support.google.com/mail/?p=BadCredentials 4fb4d7f45d1cf-5fc9cbe5133sm1634295a12.11 - gsmtp
⚠️ [WARN] ۱۴۰۴/۰۲/۱۹, ۲۱:۰۷:۰۵ | Failed to send verification email to ali@gmail.com: Failed to send verification code
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۰۷:۰۵ | Verification code for ali@gmail.com: 988056
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۰۷:۰۵ | Auth processed for: ali@gmail.com
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۰۷:۰۵ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۰۸:۴۳ | Login attempt for existing user: ali@gmail.com
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۰۸:۴۳ | Error sending email to ali@gmail.com: Invalid login: 535-5.7.8 Username and Password not accepted. For more information, go to
535 5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad2197463e2sm179692966b.108 - gsmtp
⚠️ [WARN] ۱۴۰۴/۰۲/۱۹, ۲۱:۰۸:۴۳ | Failed to send verification email to ali@gmail.com: Failed to send verification code
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۰۸:۴۳ | Verification code for ali@gmail.com: 262450
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۰۸:۴۳ | Auth processed for: ali@gmail.com
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۰۸:۴۳ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۱۱:۳۳ | New user created: ali@gmail.com with username user-20250509
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۱۱:۳۴ | Error sending email to ali@gmail.com: Invalid login: 535-5.7.8 Username and Password not accepted. For more information, go to
535 5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad2192c8bacsm181327166b.6 - gsmtp
⚠️ [WARN] ۱۴۰۴/۰۲/۱۹, ۲۱:۱۱:۳۴ | Failed to send verification email to ali@gmail.com: Failed to send verification code
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۱۱:۳۴ | Verification code for ali@gmail.com: 673943
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۱۱:۳۴ | Auth processed for: ali@gmail.com
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۱۱:۳۴ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۱۷:۵۷ | New user created: superadmin@gmail.com with username user-20250509
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۱۷:۵۷ | Error in auth: User validation failed: featureAccess.0.feature: `HOME` is not a valid enum value for path `feature`.
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۱۷:۵۷ | Error in auth: User validation failed: featureAccess.0.feature: `HOME` is not a valid enum value for path `feature`.
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۱۷:۵۷ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۱۸:۰۴ | New user created: superadmin@gmail.com with username user-20250509
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۱۸:۰۴ | Error in auth: User validation failed: featureAccess.0.feature: `HOME` is not a valid enum value for path `feature`.
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۱۸:۰۴ | Error in auth: User validation failed: featureAccess.0.feature: `HOME` is not a valid enum value for path `feature`.
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۱۸:۰۴ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۱۸:۲۲ | New user created: superadmin@gmail.com with username user-20250509
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۱۸:۲۲ | Error in auth: User validation failed: featureAccess.0.feature: `HOME` is not a valid enum value for path `feature`.
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۱۸:۲۲ | Error in auth: User validation failed: featureAccess.0.feature: `HOME` is not a valid enum value for path `feature`.
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۱۸:۲۲ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۱۸:۲۳ | New user created: superadmin@gmail.com with username user-20250509
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۱۸:۲۳ | Error in auth: User validation failed: featureAccess.0.feature: `HOME` is not a valid enum value for path `feature`.
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۱۸:۲۳ | Error in auth: User validation failed: featureAccess.0.feature: `HOME` is not a valid enum value for path `feature`.
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۱۸:۲۳ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۱۸:۲۳ | New user created: superadmin@gmail.com with username user-20250509
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۱۸:۲۳ | Error in auth: User validation failed: featureAccess.0.feature: `HOME` is not a valid enum value for path `feature`.
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۱۸:۲۳ | Error in auth: User validation failed: featureAccess.0.feature: `HOME` is not a valid enum value for path `feature`.
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۱۸:۲۳ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۲۳:۲۰ | New user created: superadmin@gmail.com with username user-20250509
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۲۳:۲۱ | Error sending email to superadmin@gmail.com: Invalid login: 535-5.7.8 Username and Password not accepted. For more information, go to
535 5.7.8  https://support.google.com/mail/?p=BadCredentials 4fb4d7f45d1cf-5fc9cc4f865sm1651009a12.35 - gsmtp
⚠️ [WARN] ۱۴۰۴/۰۲/۱۹, ۲۱:۲۳:۲۱ | Failed to send verification email to superadmin@gmail.com: Failed to send verification code
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۲۳:۲۱ | Verification code for superadmin@gmail.com: 803295
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۲۳:۲۱ | Auth processed for: superadmin@gmail.com
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۲۳:۲۱ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۲۳:۵۹ | User verified: superadmin@gmail.com
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۲۳:۵۹ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۲۴:۴۲ | New user created: user1@gmail.com with username user-20250509
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۲۴:۴۳ | Error sending email to user1@gmail.com: Invalid login: 535-5.7.8 Username and Password not accepted. For more information, go to
535 5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad219853438sm179896666b.162 - gsmtp
⚠️ [WARN] ۱۴۰۴/۰۲/۱۹, ۲۱:۲۴:۴۳ | Failed to send verification email to user1@gmail.com: Failed to send verification code
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۲۴:۴۳ | Verification code for user1@gmail.com: 600384
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۲۴:۴۳ | Auth processed for: user1@gmail.com
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۲۴:۴۳ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۲۵:۲۳ | User verified: user1@gmail.com
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۲۵:۲۳ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۲۵:۴۴ | Error unbanning user: User is not banned
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۲۵:۴۴ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۲۶:۰۷ | User user1@gmail.com banned by super admin superadmin@gmail.com
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۲۶:۰۷ | User banned: 681e4162e2109ec82654729c
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۲۶:۰۷ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۲۶:۱۵ | User user1@gmail.com unbanned by super admin superadmin@gmail.com
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۲۶:۱۵ | User unbanned: 681e4162e2109ec82654729c
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۲۶:۱۵ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۳۶:۵۴ | User list retrieved by user: 681e4110e2109ec826547286
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۳۶:۵۴ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۳۷:۵۶ | Current user retrieved: superadmin@gmail.com
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۳۷:۵۶ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۳۸:۲۳ | Login attempt for existing user: user1@gmail.com
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۳۸:۲۴ | Error sending email to user1@gmail.com: Invalid login: 535-5.7.8 Username and Password not accepted. For more information, go to
535 5.7.8  https://support.google.com/mail/?p=BadCredentials a640c23a62f3a-ad21985a11esm183224566b.174 - gsmtp
⚠️ [WARN] ۱۴۰۴/۰۲/۱۹, ۲۱:۳۸:۲۴ | Failed to send verification email to user1@gmail.com: Failed to send verification code
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۳۸:۲۴ | Verification code for user1@gmail.com: 420655
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۳۸:۲۴ | Auth processed for: user1@gmail.com
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۳۸:۲۴ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۳۸:۴۲ | User verified: user1@gmail.com
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۳۸:۴۲ | Error in onResponse hook: reply.getResponseTime is not a function
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۳۹:۰۰ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۳۹:۰۸ | Current user retrieved: user1@gmail.com
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۳۹:۰۸ | Error in onResponse hook: reply.getResponseTime is not a function
ℹ️ [INFO] ۱۴۰۴/۰۲/۱۹, ۲۱:۳۹:۳۱ | User list retrieved by user: 681e4162e2109ec82654729c
❗ [ERROR] ۱۴۰۴/۰۲/۱۹, ۲۱:۳۹:۳۱ | Error in onResponse hook: reply.getResponseTime is not a function
